,object_id,ra,decl,gal_l,gal_b,ddf,hostgal_specz,hostgal_photoz,hostgal_photoz_err,distmod,mwebv,target,maxsigma,fracmaxsigma,undersigma,fracunder,ls_frequency,ls_power,micro_t0,micro_te,micro_wings,micro_chi2,n_datapoints,stds,median,median_err,microbase,microamp
0,615,349.046051,-61.943836,320.79652999999996,-51.753706,1,0.0,0.0,0.0,,0.017,92,231.54205679156982,0.48863636363636365,-0.9017372920630049,0.0,3.081631828597774,0.7131468669282082,108974.33300163588,77.78808077223925,0.5753411165338125,2503417.8482281873,352.0,"[ 83.27584183 596.57692398 451.18082718 332.52088498 289.27696466
 292.18229477]","[ -10.015225  -488.0579685 -265.6860045 -162.1709445 -103.5413665
  -85.524307 ]",[3.86638   4.980931  3.3878865 3.3881955 3.625775  7.310321 ],"[ -491.83870966 -4112.48341252 -3831.8466224  -3662.68122909
 -3502.5546315  -3563.91400158]","[4.31723872e+13 3.57332560e+14 3.41580315e+14 3.26143541e+14
 3.15850703e+14 3.21202489e+14]"
1,713,53.085938,-27.784405,223.52550899999997,-54.460747999999995,1,1.8181,1.6267,0.2552,45.4063,0.006999999999999999,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
2,730,33.574219,-6.579592999999999,170.455585,-61.548218999999996,1,0.232,0.2262,0.0157,40.2561,0.021,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
3,745,0.18987300000000001,-45.586655,328.254458,-68.969298,1,0.3037,0.2813,1.1523,40.7951,0.006999999999999999,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
4,1124,352.711273,-63.823657999999995,316.922299,-51.059403,1,0.1934,0.2415,0.0176,40.4166,0.024,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
5,1227,35.683594,-5.379379,171.992947,-59.253501,1,0.0,0.0,0.0,,0.02,65,29.755159139332843,0.012121212121212121,-2.7556470314130976,0.0,14.781245553206126,0.03180586456935905,60615.75120142192,0.0005038030791099366,1.3393175817244825,388.9137476308102,330.0,[8.66650779 1.67840137 1.32562333 1.60582195 3.56358776 5.53878905],[ 0.3432545 -0.0288415  0.160726   0.1393055  1.009171  -1.685146 ],[2.0305655 1.1443805 1.1294775 1.7595475 2.566485  6.181801 ],[ 0.1354787   0.29453676 -0.04268893  0.28474995  0.69687011 -1.01439304],"[2.36385899e+12 8.93560539e+14 8.32814686e+14 0.00000000e+00
 0.00000000e+00 2.35918540e+15]"
6,1598,347.84671000000003,-64.760857,318.929827,-49.143596,1,0.1352,0.182,0.0304,39.7279,0.019,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
7,1632,348.595886,-63.07261999999999,320.02328900000003,-50.71306,1,0.6857,0.7014,0.01,43.1524,0.021,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
8,1920,149.414062,3.4338339999999996,234.919132,42.24555,1,0.3088,0.3229,0.336,41.1401,0.027000000000000003,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
9,1926,149.414062,1.940072,236.565366,41.393322999999995,1,0.0,0.0,0.0,,0.018000000000000002,65,22.438725093743106,0.011764705882352941,-2.31333495134862,0.0,7.327043237757294,0.0769809674989507,59619.1021144164,0.004687800634367215,-0.5236133459681838,715.0413012680583,255.0,[ 2.81211602  1.53741929  6.08374888  2.52009332  4.06803294 12.24355655],[ 0.246219 -0.093323  0.139665  0.508403  0.388879 -1.110749],[1.9972155 1.412198  1.549756  2.668613  3.910799  8.686672 ],[ 0.7882808  -0.00777767  0.81708097  0.23576863 -0.42510448 -0.20735882],"[3.66789791e+14 0.00000000e+00 2.36380066e+10 3.22782747e+09
 7.76549615e+08 0.00000000e+00]"
10,2072,0.965665,-46.37508,325.845907,-68.579427,1,0.1516,0.19,0.0104,39.8317,0.006999999999999999,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
11,2103,346.5,-62.3204,321.951129,-50.736053999999996,1,0.1695,0.5409,0.2283,42.4667,0.02,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
12,2300,359.44671600000004,-44.20153,331.730015,-69.805709,1,0.236,2.7474,0.5335,46.7959,0.01,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
13,2330,359.805206,-46.768478,327.135979,-67.829903,1,0.4541,0.5736,0.2827,42.6207,0.011000000000000001,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
14,2624,346.65518199999997,-63.260487,320.952196,-50.040935,1,0.0,0.0,0.0,,0.019,65,173.0551631835945,0.028409090909090908,-4.0201035417294735,0.005681818181818182,1.676718086707988,0.009183796539159801,60128.109968045166,0.02710795431378417,1.6636123611877696,3346.468175312052,352.0,"[ 14.2681851    6.149013     8.59297712  19.45532514 246.98262391
  58.5635735 ]",[ 0.051684   0.484688  -0.045596  -0.2135065  0.1405985 -1.573071 ],[ 2.372941   1.6889335  1.860546   3.8619055  5.76153   13.193711 ],[ 2.18042916  0.49952601  0.48855949  0.27311089  0.44180596 -1.1903278 ],"[0.00000000e+00 3.35698976e+08 4.45731569e+08 7.03544094e+09
 9.24471294e+10 2.08915494e+10]"
15,2677,53.96484399999999,-28.630989000000003,225.14295,-53.813613000000004,1,0.0,0.0,0.0,,0.009000000000000001,16,28.829151748405714,0.06571428571428571,-27.985279745040504,0.07428571428571429,1.2032000196036932,0.15124978663291458,112846.32909866405,82.05433875320522,0.46609499476710303,23520.794134575128,350.0,[ 2.94985488 22.86207392 34.92391709 30.55160015 21.27243582 12.1688632 ],[-0.701125  -0.0506375 -2.184235  -1.862304  -0.190685  -0.415116 ],[2.525881  2.8500545 2.5320075 2.9000725 3.0474005 5.641309 ],"[ -17.28566585 -124.56152724 -154.97462944 -150.85409378 -123.4266382
  -72.70437513]","[1.93624227e+12 1.40335983e+13 1.73676718e+13 1.67931265e+13
 1.39808854e+13 8.21710283e+12]"
16,2922,352.398651,-62.696659,318.017427,-51.967966,1,0.1539,0.1469,0.0094,39.2171,0.02,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
17,3041,346.130127,-63.07261999999999,321.42310299999997,-50.042305,1,0.1069,0.1274,0.0198,38.88,0.02,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
18,3285,150.820312,1.6415099999999998,237.99450699999997,42.358984,1,0.161,0.1818,0.0079,39.7258,0.02,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
19,3423,349.615387,-63.636005000000004,318.92724599999997,-50.506541999999996,1,1.9876,1.1213,0.1591,44.4078,0.018000000000000002,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
20,3489,150.117188,2.836105,236.12471800000003,42.483719,1,1.133,1.4377,0.2168,45.0753,0.016,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
21,3910,0.5895199999999999,-47.161343,325.385896,-67.76989300000001,1,0.1969,2.6766,0.5926,46.7274,0.009000000000000001,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
22,4088,0.965665,-46.37508,325.845907,-68.579427,1,0.4833,0.4644,0.0321,42.0691,0.006999999999999999,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
23,4132,359.81170699999996,-45.191612,329.485675,-69.15090500000001,1,0.0561,0.0556,0.0301,36.975,0.01,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
